iter	Passed	Remaining
0	1	1325
1	2	1112
2	3	1018
3	3	967
4	4	898
5	5	883
6	6	865
7	6	851
8	7	842
9	8	837
10	9	830
11	10	823
12	10	816
13	11	814
14	12	809
15	13	815
16	14	819
17	15	824
18	15	822
19	16	819
20	17	816
21	18	811
22	19	815
23	20	815
24	20	817
25	21	816
26	22	825
27	23	824
28	24	820
29	25	818
30	26	816
31	26	814
32	27	812
33	28	809
34	29	807
35	30	804
36	30	802
37	31	800
38	32	797
39	32	790
40	33	788
41	34	780
42	34	778
43	35	776
44	36	774
45	37	772
46	38	771
47	38	766
48	39	764
49	40	762
50	40	756
51	41	755
52	42	753
53	42	752
54	43	751
55	44	750
56	45	749
57	46	748
58	46	741
59	47	741
60	47	737
61	48	736
62	49	735
63	50	734
64	51	733
65	51	732
66	52	731
67	53	731
68	54	729
69	54	728
70	55	727
71	56	727
72	56	722
73	57	718
74	58	717
75	58	716
76	59	715
77	60	715
78	61	714
79	62	713
80	62	712
81	63	711
82	64	711
83	65	710
84	65	709
85	66	708
86	67	707
87	68	706
88	68	705
89	69	705
90	70	704
91	71	703
92	72	702
93	72	702
94	73	701
95	74	700
96	75	700
97	75	699
98	76	699
99	77	698
100	78	697
101	79	696
102	79	694
103	80	693
104	81	692
105	82	692
106	83	693
107	83	692
108	84	692
109	85	693
110	86	692
111	87	692
112	88	691
113	88	690
114	89	690
115	90	689
116	91	688
117	92	687
118	92	687
119	93	686
120	94	687
121	95	686
122	96	685
123	96	684
124	97	684
125	98	682
126	99	681
127	99	680
128	100	677
129	100	675
130	101	675
131	102	674
132	103	672
133	103	671
134	104	670
135	105	670
136	106	670
137	107	669
138	107	668
139	108	668
140	109	667
141	110	666
142	110	664
143	111	663
144	112	663
145	113	662
146	114	662
147	114	661
148	115	660
149	116	660
150	117	659
151	118	658
152	118	658
153	119	657
154	120	655
155	121	655
156	122	656
157	123	655
158	123	655
159	124	654
160	125	653
161	126	653
162	127	652
163	127	651
164	128	651
165	129	650
166	130	649
167	131	649
168	131	648
169	132	647
170	133	646
171	133	644
172	134	643
173	135	642
174	136	642
175	137	641
176	137	640
177	138	639
178	139	639
179	140	638
180	140	637
181	141	636
182	142	635
183	143	635
184	143	634
185	144	633
186	145	633
187	146	632
188	147	631
189	147	629
190	148	628
191	149	628
192	150	627
193	150	626
194	151	625
195	152	625
196	153	624
197	153	622
198	154	621
199	155	620
200	155	619
201	156	619
202	157	618
203	158	617
204	159	616
205	159	616
206	160	615
207	161	614
208	161	612
209	162	611
210	163	611
211	164	610
212	165	609
213	165	609
214	166	608
215	167	607
216	168	606
217	168	606
218	169	605
219	170	605
220	171	604
221	172	603
222	173	603
223	173	602
224	174	600
225	175	599
226	175	598
227	176	598
228	177	597
229	178	596
230	179	596
231	179	595
232	180	594
233	181	592
234	181	592
235	182	591
236	183	590
237	184	589
238	185	589
239	185	588
240	186	587
241	187	586
242	188	585
243	188	585
244	189	584
245	190	583
246	191	582
247	191	581
248	192	581
249	193	580
250	194	579
251	195	578
252	195	578
253	196	577
254	197	576
255	198	575
256	198	575
257	199	574
258	200	573
259	201	572
260	202	572
261	202	571
262	203	570
263	204	570
264	205	569
265	206	568
266	206	567
267	207	567
268	208	566
269	209	565
270	209	564
271	210	563
272	211	563
273	212	562
274	213	561
275	213	560
276	214	560
277	215	559
278	216	558
279	216	557
280	217	556
281	218	556
282	219	555
283	219	554
284	220	553
285	221	552
286	222	551
287	222	550
288	223	550
289	224	549
290	225	548
291	225	547
292	226	546
293	227	545
294	228	545
295	228	544
296	229	543
297	230	542
298	231	541
299	231	541
300	232	540
301	233	539
302	234	538
303	235	538
304	235	537
305	236	536
306	237	535
307	238	535
308	238	534
309	239	533
310	240	532
311	241	532
312	242	531
313	242	530
314	243	529
315	244	529
316	244	527
317	245	527
318	246	526
319	247	525
320	248	524
321	248	523
322	249	523
323	250	522
324	251	521
325	251	520
326	252	519
327	253	519
328	254	518
329	254	517
330	255	516
331	256	516
332	257	515
333	258	514
334	258	513
335	259	513
336	260	512
337	261	511
338	261	510
339	263	510
340	263	510
341	264	509
342	265	508
343	267	509
344	267	508
